task,measure,ce,bacc,auc,logloss,mcc,k,distance,kernel
Bioresponse,logloss,0.232470921985816,0.762878663965762,0.84296384274246,0.493350198729711,0.530578346035553,3.7321356538219,1.78579699248075,cos
Bioresponse,mcc,0.218341843971631,0.777901680727441,0.845587948268499,0.513182846588681,0.55919022273864,3.5012408657763,1.03817658405751,biweight
GesturePhaseSegmentationProcessed,auc,0.311355311355311,0.641747413435813,0.926141760042604,0.950846719134853,0.59266133504035,4.06513129303005,1.0007285727188,triweight
GesturePhaseSegmentationProcessed,bacc,0.308012256500498,0.661533265999571,0.914338941425845,3.35982499874846,0.597690282589052,1.86865142167309,1.00486143957824,biweight
GesturePhaseSegmentationProcessed,ce,0.30386040797575,0.659217974530711,0.923442452150184,1.28018109092535,0.602417114798347,3.27243444479985,1.01439157035202,triweight
GesturePhaseSegmentationProcessed,logloss,0.325128799904836,0.62277028103835,0.924983147137729,0.918743115460913,0.574747828441244,4.55554995085439,1.00195936579257,triweight
GesturePhaseSegmentationProcessed,mcc,0.303961725098343,0.659625377486945,0.923347648623306,1.31894580568562,0.602327309623605,3.25136403921543,1.01011469494551,triweight
Internet-Advertisements,auc,0.0997249571119564,0.646521225203001,0.972820262445609,0.276493258855518,0.505067452914932,4.4572511369177,2.02624834887683,inv
Internet-Advertisements,bacc,0.035378906541359,0.907304450611574,0.936328331106314,0.672197654821998,0.849003728693373,1.12827340712947,1.4090492175892,epanechnikov
Internet-Advertisements,ce,0.032937085104796,0.897855380820228,0.950997019220886,0.470389505079792,0.857928912152341,1.83644619927134,2.90465702116489,optimal
Internet-Advertisements,logloss,0.0448282613560081,0.845385445575085,0.967287919279131,0.189732749535184,0.802493878305412,4.60618777399799,2.15057552419603,cos
Internet-Advertisements,mcc,0.032937085104796,0.897855380820228,0.950958474663377,0.470829798488629,0.857928912152341,1.80607519768594,2.98287068400532,optimal
KDDCup09_appetency,auc,0.0178,0.5,0.67785514746762,0.127452466898076,0,4.59034258425235,1.05356979370117,gaussian
KDDCup09_appetency,bacc,0.03216,0.513651307887133,0.513651307887133,1.11076704886033,0.0288353133818922,0.429003248104047,1.30237048212439,optimal
KDDCup09_appetency,ce,0.01778,0.500561797752809,0.529565479009515,0.53216214419479,0.0105062660773072,1.97123179126947,3.82221546396613,inv
KDDCup09_appetency,logloss,0.0178,0.5,0.683212531373048,0.117239075755077,0,4.60645222617813,1.14613256976008,inv
KDDCup09_appetency,mcc,0.03102,0.512025171650891,0.512025171650892,1.07139284377013,0.027638195042918,0.21125802925718,1.98335221875459,optimal
MiceProtein,auc,0.00833333333333333,0.992124542124542,1,0.090762257402381,0.990548951226704,1.85314350243114,2.67310880752901,biweight
MiceProtein,bacc,0.00185185185185185,0.998214285714286,0.999489795918367,0.0639606970276134,0.997899598746343,0.338864789960964,1.06930219835291,optimal
MiceProtein,ce,0.00185185185185185,0.998273809523809,0.999506802721088,0.0639606970276134,0.997899906608322,0.124868147938486,1.66566478461027,optimal
MiceProtein,logloss,0.00277777777777778,0.997380952380952,1,0.00916431402261207,0.996849447098067,1.52307326707267,1.65862217452377,biweight
MiceProtein,mcc,0.000925925925925926,0.999107142857143,0.999744897959184,0.0319803485138072,0.998950058256598,0.156119163536532,1.13108591269702,triweight
PhishingWebsites,auc,0.0312974888105193,0.9671435201752,0.996010262208504,0.0921271754082957,0.936678526532028,4.07808110174393,2.98032900784165,triweight
PhishingWebsites,bacc,0.0280409612725324,0.970712859708927,0.993617394881546,0.2085995328284,0.943244676937218,1.83553518366245,3.05332536436617,biweight
PhishingWebsites,ce,0.0276797885658645,0.970974897678795,0.995127623621161,0.135364508362654,0.943986209007316,2.50925108074285,1.89409578870982,triweight
PhishingWebsites,logloss,0.029941004639441,0.968652996471261,0.995774125425903,0.0852887384402102,0.939386249189627,3.54224605852691,3.17032758239657,triweight
PhishingWebsites,mcc,0.0275895363013755,0.97099345055449,0.994936608764001,0.132732876569548,0.944179557438183,2.60090439289353,1.98928172513843,triweight
adult,auc,0.150710468540561,0.76384552279436,0.902855523822972,0.340219449815472,0.564444207684493,4.60852767403505,1.00205031782389,biweight
adult,bacc,0.152430244518269,0.766908721312423,0.898164989149988,0.364574748570327,0.563063024459539,4.21806918410306,1.15677983686328,triweight
adult,ce,0.150382918509838,0.764705985734094,0.902144867996751,0.356834078200412,0.565672599297741,4.05204082791091,1.01832770649344,cos
adult,logloss,0.150935639277502,0.761058838907193,0.902490031597293,0.340110219451256,0.562189073866542,4.60572222460341,1.0033919820562,cos
adult,mcc,0.15048522654971,0.765870400127571,0.901988968112487,0.350080163879832,0.56622441074716,4.26825027231585,1.00526917818934,biweight
analcatdata_authorship,auc,0.00236694677871148,0.998385416666667,1,0.0115521408719329,0.99658854971477,2.69499593250379,1.69271563726167,triweight
analcatdata_authorship,bacc,0,1,1,0.00845249037887907,1,1.12882062647619,1.02894566940765,gaussian
analcatdata_authorship,ce,0,1,1,0.00842010422776109,1,1.7885400260505,1.0108812507242,epanechnikov
analcatdata_authorship,logloss,0.00593837535014006,0.995301925205566,1,0.00658198583220887,0.991515643398231,0.765728166259883,1.02096374239773,rectangular
analcatdata_authorship,mcc,0,1,1,0.00896485387572855,1,1.59239334286238,1.05226335485776,rectangular
