task,measure,ce,bacc,auc,logloss,mcc,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,num_iterations
semeion,mcc,0.0401650943396226,0.959698529411765,0.99883809912854,0.200522042523031,0.95569336619072,-2.48424372259446,0.106360319093801,24,177,100
shuttle,auc,0.000379310344827586,0.929494658774147,1,0.00319279108620515,0.998933133740705,-0.984385932250248,0.83779261878226,163,240,71
shuttle,bacc,6.89655172413793e-05,0.997462940232273,0.99998580002032,0.002232450534829,0.999806063135356,-1.34162653787916,0.894940075441264,139,11,82
shuttle,ce,5.17241379310345e-05,0.982854009337887,0.999998931110042,0.0019359517106647,0.999854546970898,-3.03938684469801,0.906239672168158,150,240,89
shuttle,logloss,8.62068965517241e-05,0.954282580766459,0.999999569909122,0.000304703105793594,0.999757568273872,-4.32852521421363,0.542814058833756,172,190,822
shuttle,mcc,6.89655172413793e-05,0.982810188128422,0.999999508467568,0.00361866893692264,0.99980610946645,-3.6953715728002,0.974493380193599,181,135,130
sick,auc,0.00981011325838912,0.948203758290346,0.998861356751003,0.0275355531233792,0.914077166809342,-2.97651193557534,0.952524518850259,22,143,124
sick,bacc,0.0106079744010778,0.974023581429624,0.994563793141227,0.0465019159986072,0.914670410926927,-0.88035609869443,0.980639121308923,10,12,13
sick,ce,0.00556888832750902,0.970609186931958,0.998260562515352,0.029438458317716,0.951324181965021,-2.24807158859963,0.957839301344939,15,220,44
sick,logloss,0.00769090424262838,0.961348563006632,0.9989447719643,0.0205311908322651,0.932511984989181,-3.01160837957366,0.562361804093234,2,10,281
sick,mcc,0.0060986905814492,0.966351940555146,0.998222250476576,0.0306996653897596,0.946966964629385,-2.21271917614226,0.985048413299955,18,211,37
spambase,auc,0.0380321607092332,0.95907508747732,0.991191129775219,0.11317496894956,0.920446430587806,-3.15477289245481,0.383956225053407,3,30,305
spambase,bacc,0.0356422710553617,0.962682519412074,0.988156369094121,0.138913481951566,0.925545755767652,-1.53728400231841,0.951564541994594,39,29,80
spambase,ce,0.035206545317363,0.962462432888779,0.989289206040891,0.155271243208779,0.926420565431145,-1.06010811273981,0.584173829550855,7,41,49
spambase,logloss,0.0404206356691502,0.956714345523744,0.991017118678867,0.110058147054539,0.915449411560041,-3.48876483561499,0.404280158644542,8,25,456
spambase,mcc,0.0354239366217108,0.962478345431121,0.98923313318691,0.127813827002195,0.925868007925153,-1.76637204503816,0.99752109341789,24,199,47
splice,auc,0.0379310344827586,0.954926591762356,0.99682358756262,0.270943308921885,0.938466155606319,-3.28223700023162,0.335921344486997,28,43,178
splice,bacc,0.0253918495297806,0.975082741538036,0.996154288379992,0.122901247481796,0.95904669184001,-1.0150108195213,0.603202843968757,125,182,48
splice,ce,0.0253918495297806,0.973925906405298,0.995951052852493,0.135525566796596,0.958970473959308,-0.503943960340076,0.342386998119764,155,238,66
splice,logloss,0.0297805642633229,0.968091701506413,0.996408479283204,0.105517393177812,0.951827414405127,-2.12354858255838,0.25477157488931,64,145,234
splice,mcc,0.0253918495297806,0.975322968794751,0.99604421818024,0.130726243413834,0.95905374514457,-0.550612430037511,0.951822045585141,34,80,52
steel-plates-fault,auc,0.201456515992598,0.816645166017665,0.980584394532731,0.493096283895823,0.740924845656352,-2.89913238942958,0.959297889121808,5,23,218
steel-plates-fault,bacc,0.179807031456516,0.843744992963354,0.978660214650925,0.527382529201765,0.769978958991591,-1.52936963596149,0.906430249614641,7,163,109
steel-plates-fault,ce,0.168480042294475,0.819291588244223,0.977814991501885,0.567837467318973,0.78324908591393,-4.06354855713647,0.834037712868303,1,148,145
steel-plates-fault,logloss,0.189595559080095,0.81589199764907,0.978929528478215,0.475901595364005,0.755461801314791,-4.99489077565274,0.675159328128211,7,15,864
steel-plates-fault,mcc,0.170539254559873,0.838248075136491,0.976514910037553,0.558376058211696,0.781043424080233,-1.23350359896756,0.799115120782517,44,235,51
sylvine,auc,0.048204876340156,0.95179201118677,0.990948771317181,0.131452311489741,0.905041208420828,-3.03158152520535,0.657321846927516,1,128,140
sylvine,bacc,0.0415680586013645,0.958431876215953,0.990020734141309,0.130165867843147,0.918216879858529,-2.45200286665602,0.605437087826431,9,153,100
sylvine,ce,0.0419583028752437,0.958038971303502,0.989582705961591,0.138133424280945,0.917472857407271,-2.51515205193903,0.66993796445895,10,191,75
sylvine,logloss,0.0439106664230019,0.956085846303502,0.990878812441102,0.120763463928591,0.913666860194495,-2.6705330125983,0.590994397900067,10,218,108
sylvine,mcc,0.0415676778752437,0.958433396157588,0.985803810446179,0.168766319165703,0.918390004770646,-0.848967231997119,0.995322179491632,67,85,43
tic-tac-toe,auc,0.0198245614035088,0.973465749936338,1,0.127909290816935,0.956864253010002,-2.07465365475237,0.849297209350562,64,200,157
tic-tac-toe,bacc,0,1,1,0.0532132593224493,1,-0.192621699198193,0.97754915303085,61,192,36
tic-tac-toe,ce,0,1,1,0.0868921584452085,1,-0.573730125615549,0.988445006054826,41,233,29
tic-tac-toe,logloss,0,1,1,0.00386992337823745,1,-1.40689957252147,0.88066941590514,50,137,655
tic-tac-toe,mcc,0,1,1,0.0759073955914312,1,-0.714246902274606,0.867411059769802,43,125,159
vehicle,auc,0.191484593837535,0.810254329004329,0.954919893117945,0.444631800978535,0.747155118543649,-0.53401165691184,0.652861421136186,24,130,148
vehicle,bacc,0.164299719887955,0.837424242424243,0.948211880711881,0.48251363138753,0.783043132810969,-0.152844756182255,0.961713780136779,26,75,92
vehicle,ce,0.169019607843137,0.832997835497836,0.947806237109894,0.482040563008034,0.776887621409521,-0.713159857781843,0.406714830989949,16,34,114
vehicle,logloss,0.202100840336134,0.799918831168831,0.950475159760874,0.400828178937227,0.733122340773762,-0.938433886667465,0.966154842893593,20,52,167
vehicle,mcc,0.167843137254902,0.834561688311688,0.948423190502821,0.469273009374216,0.77963799581896,-0.646999624182441,0.764312708843499,16,78,105
volkert,auc,0.261104441776711,0.666709151340549,0.968783892422478,0.733423659698539,0.691482677093394,-5.34987773429275,0.899255559267476,37,242,4845
volkert,bacc,0.256285371291374,0.675830579901913,0.964190718875258,0.803282552976746,0.69712504911357,-1.97253504844867,0.974522732151672,57,226,425
volkert,ce,0.253181272509004,0.672865726620087,0.966261282382666,0.751026002426344,0.700737889254546,-3.25422194067702,0.877924040867947,48,204,743
volkert,logloss,0.25594237695078,0.672402873802767,0.968688792492632,0.722045503644117,0.697524067787416,-5.05482960105163,0.86235317401588,72,191,4906
volkert,mcc,0.253164122791974,0.676120281019814,0.96465771991797,0.801953992905302,0.700819681866059,-2.4012656321766,0.99391055572778,38,202,610
wall-robot-navigation,auc,0.00678226971804954,0.987867755073021,0.9999960369971,0.0703139535354643,0.989800383479707,-2.83730079089703,0.966195266926661,67,164,65
wall-robot-navigation,bacc,0.00201498807003394,0.997446346223436,0.999980368503515,0.0223187569914381,0.996968654414079,-1.16042056135493,0.636869548889808,145,32,27
wall-robot-navigation,ce,0.00219813825318413,0.99539496623088,0.999910876074963,0.0142299936746845,0.996693137292462,-1.27738692898711,0.855325544369407,46,31,26
wall-robot-navigation,logloss,0.00256477467486642,0.995624009027763,0.999989755919593,0.00753016120077466,0.996140449595899,-0.899543085931142,0.567393313255161,161,38,63
wall-robot-navigation,mcc,0.00183183788688376,0.996266178352092,0.999980757718374,0.0164421755058429,0.997242977364115,-2.20354036731793,0.998565287655219,35,110,60
wdbc,auc,0.0281015037593985,0.968210678210678,0.998292448292448,0.104119063185088,0.940506650702503,-0.993003609949375,0.633474381058477,15,11,49
wdbc,bacc,0.012280701754386,0.987261904761905,0.993799903799904,0.0943169909230388,0.974298085744648,-0.387137545049938,0.478318455466069,37,38,40
wdbc,ce,0.0087719298245614,0.988203463203463,0.992805435305435,0.103783953634801,0.981440719870568,-0.981823100144079,0.823791872872971,67,119,36
wdbc,logloss,0.0087719298245614,0.989087301587302,0.998941798941799,0.0399831952949291,0.98141023545965,-0.772553381309337,0.717342125251889,38,61,132
wdbc,mcc,0.0105263157894737,0.987806637806638,0.994642857142857,0.0673935644604568,0.977847188545303,-0.155668980060196,0.422831822000444,90,236,20
wilt,auc,0.0138446862755163,0.907716639902053,0.995927217060271,0.0374863350620837,0.859804611471791,-0.784531113260568,0.995525838574395,144,28,53
wilt,bacc,0.0099182109063532,0.955066838304299,0.989888779233327,0.0492352505234427,0.903690304234757,-0.541441500456669,0.905274302815087,177,145,56
wilt,ce,0.00888472528788734,0.941030689591648,0.99195449175777,0.0417036839675994,0.910129222376609,-1.48908981739873,0.788271858543158,150,67,124
wilt,logloss,0.0111578803278408,0.932573473105517,0.994758980723788,0.0327535716396302,0.887401394025172,-1.0943755088175,0.940879516256973,169,106,202
wilt,mcc,0.00909176462536146,0.948176906870876,0.991379064466554,0.0416303290813603,0.910040852314755,-0.926638670419565,0.919716216158122,91,26,61
