task,measure,ce,bacc,auc,logloss,mcc,alpha,lambda
analcatdata_authorship,auc,0.00830532212885154,0.984270833333333,1,0.217447735937988,0.988166475924961,0.150560081442818,-1.85529021521676
analcatdata_authorship,bacc,0.00117647058823529,0.999166666666667,1,0.0178334798241362,0.998310896633863,0.345606727972627,-6.35180940970868
analcatdata_authorship,ce,0.00117647058823529,0.999166666666667,1,0.00980961293816697,0.998310896633863,0.133007926414721,-8.63508216928462
analcatdata_authorship,logloss,0.00236694677871148,0.998385416666667,1,0.00926196902407073,0.99658854971477,0.165250405669212,-9.21009722142777
analcatdata_authorship,mcc,0.00117647058823529,0.999166666666667,1,0.0223783342509074,0.998310896633863,0.368025365611538,-5.86569784088144
analcatdata_dmft,auc,0.777879746835443,0.201587301587302,0.620464180050719,1.7650646869197,0.0580903589497035,0.00129129039123654,0.458194329343436
analcatdata_dmft,bacc,0.782943037974684,0.216203449328449,0.601714986224602,1.78133376502027,0.05969551092893,0.0634871290531009,-5.28954668694006
analcatdata_dmft,ce,0.776566455696203,0.221437728937729,0.612307688394227,1.75257848945537,0.0654926147378629,0.156769720837474,-2.91487975904969
analcatdata_dmft,logloss,0.784113924050633,0.212013888888889,0.615681062349332,1.74905217453644,0.0552124617110625,0.000471665989607573,-1.28143181264361
analcatdata_dmft,mcc,0.777863924050633,0.220911172161172,0.605939339328763,1.75797401342637,0.0641922797711742,0.81851198291406,-4.29980975869588
balance-scale,auc,0.135995903737839,0.62504105090312,0.960145518373818,0.809906835685451,0.760222787470886,0.0192776969633996,0.604389899326812
balance-scale,bacc,0.103917050691244,0.823940886699507,0.958217824585244,0.26580577701041,0.825010331957196,0.607225560350344,-9.1225149840437
balance-scale,ce,0.102329749103943,0.830607553366174,0.958759696506427,0.26605045412461,0.828022338033442,0.961204716470093,-9.17230686209621
balance-scale,logloss,0.118330773169483,0.762274220032841,0.957250438819999,0.265491634838571,0.798079128658366,0.268410757184029,-8.4786592112532
balance-scale,mcc,0.103917050691244,0.823940886699507,0.957979729347149,0.265780366838446,0.825010331957196,0.529833849384449,-9.16801688885864
bank-marketing,auc,0.0993341946145273,0.642194544318939,0.905560751388854,0.244987686114024,0.405417253295614,0.99947079247795,-5.24302981212895
bank-marketing,bacc,0.0990687519376137,0.655795912065911,0.904059838261429,0.243419734188783,0.419315948145377,0.931802773382515,-9.10441312845082
bank-marketing,ce,0.098913948284584,0.649403936789518,0.90422932881789,0.243626602933876,0.414039120733406,0.120650483993813,-5.28039631244357
bank-marketing,logloss,0.0992235947220015,0.653247529315414,0.904416298459049,0.243383322122865,0.416228213456098,0.999963430222124,-7.23237957041647
bank-marketing,mcc,0.0990687519376137,0.655795912065911,0.904064906279592,0.243418379568422,0.419315948145377,0.964863966684788,-9.06217414727915
banknote-authentication,auc,0.0102031101237702,0.990167996369463,0.999870578084556,0.0264768330335252,0.979629617203104,0.913595286384225,-8.03715628676147
banknote-authentication,bacc,0.00947318311647096,0.990987668500611,0.999849007765315,0.0301433805232831,0.981082500259021,0.0394960900302976,-8.94919600105104
banknote-authentication,ce,0.00947318311647096,0.990987668500611,0.999849007765315,0.029836512809874,0.981082500259021,0.191353280330077,-8.85295279971904
banknote-authentication,logloss,0.012392891145668,0.98770897997602,0.999849007765315,0.0223344144006279,0.975302056878589,0.999937936430797,-9.20526560091106
banknote-authentication,mcc,0.00947318311647096,0.990987668500611,0.999849007765315,0.0299059269781596,0.981082500259021,0.682445693458431,-8.10481401996767
blood-transfusion-service-center,auc,0.228576576576577,0.527373581011352,0.759591789932347,0.488615126253457,0.154573072496622,0.0056621131952852,-2.35776328344281
blood-transfusion-service-center,bacc,0.228576576576577,0.546706226350189,0.753835569315446,0.477105496631668,0.183319939735615,0.106185721927322,-6.47837175488577
blood-transfusion-service-center,ce,0.224576576576577,0.533806329549364,0.757252608645798,0.484172245080634,0.181737422942021,0.407759036868811,-3.37308663771146
blood-transfusion-service-center,logloss,0.229927927927928,0.541864465084279,0.753835569315446,0.476971062425195,0.173830105268082,8.48192721605301e-05,-5.20210705544622
blood-transfusion-service-center,mcc,0.227261261261261,0.535853113175095,0.758181401215457,0.479135500475783,0.184088526858015,0.28544906294439,-3.89976853959081
breast-w,auc,0.0357763975155279,0.958946859903382,0.995201771336554,0.0949529966491619,0.921608692718454,0.734022324760445,-5.47768631573276
breast-w,bacc,0.0343478260869565,0.962026570048309,0.994211111111111,0.102433021480149,0.925067936569282,0.928686918811873,-7.10035532237151
breast-w,ce,0.0343478260869565,0.962026570048309,0.9951192431562,0.0968935457677803,0.925067936569282,0.536740313540213,-7.46531344290202
breast-w,logloss,0.0343478260869565,0.961030193236715,0.994843156199678,0.0922501736429923,0.924702844994308,0.045538961654529,-5.46449404906534
breast-w,mcc,0.0343478260869565,0.962026570048309,0.994214814814815,0.10074324598777,0.925067936569282,0.192425948949531,-8.68249575902594
car,auc,0.0769760720526953,0.830545013200516,0.993331539666126,0.177626105484116,0.833983304472036,0.894628279376775,-6.42531392531311
car,bacc,0.0636611103642963,0.900033001288982,0.992037083381923,0.151993344605032,0.862680699658485,0.853628077777103,-8.51065507938615
car,ce,0.0630797150154591,0.893944392927646,0.992557979664952,0.152566509262677,0.863950717893448,0.284134311447851,-8.62358341485647
car,logloss,0.06597324909262,0.888660820837854,0.99209547698953,0.151205957382971,0.857686255003916,0.955525749828666,-8.83844549607302
car,mcc,0.0630797150154591,0.896874795858049,0.992603508298997,0.155769743666115,0.863983364812002,0.0188967094710097,-8.01541287074472
christine,auc,0.264861436045044,0.735137351373514,0.805830394466306,0.541417957512056,0.470685093715607,0.966919186292216,-4.62198324888975
christine,bacc,0.262462912059805,0.737535192018587,0.805591558252606,0.541199603135238,0.475361708787796,0.928550549084321,-4.67784811779446
christine,ce,0.262832256788372,0.73716618832855,0.805478421327879,0.541298258276986,0.474640248700423,0.837092304136604,-4.57650637631933
christine,logloss,0.26301641759486,0.736981686483532,0.805656987443183,0.541144617360754,0.47425191174798,0.994029032532126,-4.75264085420834
christine,mcc,0.262093567331237,0.737904879048791,0.805590216787777,0.541175553076726,0.476106329484075,0.960287152556702,-4.70725254740132
churn,auc,0.138,0.526219592177666,0.864853511266548,0.327381938709348,0.160829428543528,0.04504115274176,-1.90568591903256
churn,bacc,0.1466,0.584434460615266,0.859770904933041,0.308831609304919,0.240861431005809,0.000839388463646174,-6.5599186686727
churn,ce,0.1364,0.540172204692349,0.864457508972085,0.321501890162022,0.196030784544536,0.0261558257043362,-2.12718833145855
churn,logloss,0.1474,0.576855253055712,0.861194713900577,0.308800325356154,0.226118109045325,0.967268143082038,-5.84411129340261
churn,mcc,0.1468,0.584317910498716,0.859533973396404,0.308867026078019,0.240361840331566,0.0220143587794155,-7.86904862822995
climate-model-simulation-crashes,auc,0.0444444444444444,0.7515,0.953295918367347,0.138235928962333,0.661366209513538,0.598771908553317,-4.74635217462772
climate-model-simulation-crashes,bacc,0.0351851851851852,0.836,0.950132653061224,0.154125987669372,0.754351773491821,0.192690330436453,-8.8308013105784
climate-model-simulation-crashes,ce,0.0351851851851852,0.836,0.950040816326531,0.151783697658902,0.754351773491821,0.337911157095805,-8.47330563928223
climate-model-simulation-crashes,logloss,0.0425925925925926,0.791,0.950489795918367,0.130866343431197,0.693537833119487,0.00015631876885891,-5.94844999308884
climate-model-simulation-crashes,mcc,0.0351851851851852,0.836,0.950132653061224,0.153986395227622,0.754351773491821,0.301521881269291,-8.72800611048426
cmc,auc,0.489441993013422,0.480639372574856,0.727124160429589,0.953691973393891,0.230678814435545,0.951471076346934,-5.30988427264646
cmc,bacc,0.490099282956426,0.480947687494177,0.725400376740277,0.955916888102168,0.231244323369917,0.892910897093825,-7.31987020995714
