task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
wall-robot-navigation,bacc,0.00128339550357899,0.999176864157514,0.0114453835364138,0.999992412222359,0.998067675505939,-0.676965080372598,6,1.39646580764325
wdbc,bacc,0.0105263157894737,0.986774891774892,0.0801670800054191,0.994723424723425,0.977703793019414,-0.538008813700776,16,17.0648153123199
wilt,bacc,0.0101243947093749,0.944003242107692,0.0437416399217068,0.98989206372774,0.899535521836682,-0.956848436233073,15,62.8236218229681
APSFailure,logloss,0.00489473684210526,0.897181985255003,0.0158548322953,0.993046598117084,0.854285926082136,-4.58778093095644,10,2.50440608133515
Amazon_employee_access,logloss,0.0441270008938608,0.698037882455955,0.131902250455548,0.906475921896546,0.515677085165746,-4.06876686156622,9,3.43259918239783
Australian,logloss,0.110144927536232,0.888051020852379,0.283160856976669,0.951011855527985,0.778866036705611,-1.53592109584491,13,4.31355145876529
GesturePhaseSegmentationProcessed,logloss,0.266483824126601,0.681326787801992,0.724690420646141,0.940666756683808,0.649457488301454,-3.52633362989047,16,13.543392718561
Internet-Advertisements,logloss,0.0195196539121355,0.937542912940693,0.0713286562328773,0.98908460958646,0.916787992435528,-3.92788560194345,12,0.0110235820163507
KDDCup09_appetency,logloss,0.01804,0.503187524452101,0.0722094815615181,0.854790781529198,0.0416587436514564,-3.55690023745809,14,20.8455944527767
MiceProtein,logloss,0.00277777777777778,0.997371794871795,0.00644109200384095,1,0.996850472790031,-1.24028440772256,11,0.00750504884799011
PhishingWebsites,logloss,0.0251465065091275,0.973979417865932,0.0590144787479176,0.997679213302839,0.949086211762462,-4.90983981051189,11,0.603976747376844
adult,logloss,0.124667399324513,0.800610038840466,0.271577128492712,0.930875316701446,0.641354015016361,-1.00341239618524,2,0.980361076297238
analcatdata_authorship,logloss,0.00355742296918768,0.99421875,0.0102186926216979,1,0.994902774139156,-3.416242974161,13,0.0360186251094565
analcatdata_dmft,logloss,0.756487341772152,0.242065018315018,1.73545563435276,0.637109340267994,0.0915720285562719,-0.0721912725864903,7,66.2314029199996
balance-scale,logloss,0.0128008192524322,0.99072249589491,0.0278347642305239,0.999761904761905,0.978328220908545,-0.29662306679554,1,0.0838028759835288
bank-marketing,logloss,0.0887837787998236,0.734036904633602,0.191303289503785,0.938954605634641,0.527241559945738,-4.51508954594628,9,6.95048787618126
banknote-authentication,logloss,0,1,0.000910931659625275,1,1,-2.74750460725334,12,0.00107171176653355
blood-transfusion-service-center,logloss,0.205873873873874,0.638785689714482,0.457126105473785,0.773847609219126,0.345476268352828,-0.109068140938145,16,96.2859430411367
breast-w,logloss,0.0215113871635611,0.976707729468599,0.0647822934205259,0.99700152979066,0.953303899496125,-0.0904771374917655,7,3.09946892304812
car,logloss,0,1,0.000142381808763811,1,1,-0.285087952433052,3,0.117049661666621
churn,logloss,0.0364,0.888331392376594,0.135977618377249,0.930733642490275,0.84379283111337,-3.00413649892185,9,2.53074991099816
climate-model-simulation-crashes,logloss,0.0444444444444444,0.764459183673469,0.107896949261283,0.966836734693878,0.634320782186243,-0.074519494950406,9,111.463965437614
cmc,logloss,0.432409450266593,0.544703964248556,0.878421330602558,0.771099328212752,0.329613852310757,-1.0689184064993,3,3.47443764307071
cnae-9,logloss,0.0509259259259259,0.949074074074074,0.183215789910806,0.998167438271605,0.943133496467469,-3.62045515150994,16,0.0333946263794787
connect-4,logloss,0.122148764658681,0.735825828976451,0.307335718368707,0.947243544494353,0.747663794373437,-1.07934573203701,14,648.448372470274
credit-approval,logloss,0.131884057971015,0.867544077314875,0.286344401074862,0.948879746927285,0.736217549711226,-0.536980085903205,7,622.026669649574
credit-g,logloss,0.218,0.695714285714286,0.465674524120545,0.817428571428571,0.441444587268084,-1.31420006054752,3,28.3499900738683
cylinder-bands,logloss,0.140740740740741,0.847708346614816,0.317637746875619,0.927484500510009,0.711616944566079,-1.03312671053601,14,146.994559707617
diabetes,logloss,0.220078605604921,0.744957264957265,0.444082085586637,0.858,0.506401019578522,-1.30182787427058,12,0.0911649735737592
