task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
diabetes,logloss,0.213550922761449,0.751165242165242,0.450491403072603,0.851538461538462,0.520583735239689,-0.355255082910915,1,0.566963396011852,0.976252607977949,-0.57380999724466,-3.64423593874414,0.509734779479913
dilbert,logloss,0.008,0.992019910480704,0.0262178686924159,0.999932629868933,0.990020926061997,-3.55402853225205,4,0.202712602540851,0.212117197434418,-4.65211364326698,-4.75322714991204,0.785234065307304
dna,logloss,0.0316998876205122,0.966300247698472,0.101923050398584,0.996547986366584,0.948747000708199,-3.9606857426361,12,0.101864512660541,0.409310101228766,1.22521490019049,-6.18055466237418,0.997999058873393
dresses-sales,logloss,0.334,0.64047619047619,0.617455109797995,0.703612479474549,0.295103978346117,-0.474488723363977,15,0.129407088155858,0.809666993073188,0.813678062571506,-6.46451175438664,0.159605256142095
electricity,logloss,0.0500750103776612,0.94841368902071,0.128559443794284,0.989483174726389,0.897493059395471,-4.08868290158055,11,0.998839631327428,0.926328117446974,-4.35850565688896,-2.78525773626142,0.986446171510033
eucalyptus,logloss,0.304535357275083,0.655931401931402,0.706226062632901,0.93008176671813,0.61198928865042,-2.34664165646737,3,0.854370986204594,0.355611599911936,-0.837350877310642,-2.63484745562577,0.717868157569319
fabert,logloss,0.268428022036358,0.708161874886828,0.758233912235071,0.952638454051593,0.678583721345961,-5.44780812950096,20,0.579553903266788,0.258272852795199,-5.92285190769255,-5.56618072738331,0.91159376767464
first-order-theorem-proving,logloss,0.363681899382775,0.514274101080243,1.03137843729029,0.869124473439237,0.503763271086908,-6.00440238662674,11,0.831798432325013,0.86082059876062,-5.97006101508377,-6.12176990891703,0.632029183791019
guillermo,logloss,0.14965,0.82708871078583,0.3505721045858,0.91902598183574,0.688099001655542,-5.69018527309116,12,0.776841951301321,0.776470288494602,-6.2992924653636,0.973137861028065,0.984134150086902
har,logloss,0.00543745931104758,0.99482179697169,0.0140514123881358,0.999963917372014,0.99346569780688,-1.79256194755945,3,0.688240874093026,0.496621349593625,-5.75548055746902,-4.78143016456607,0.8670968526043
