task,measure,ce,bacc,logloss,auc,mcc,svm.cost,svm.gamma
wdbc,ce,0.0192982456140351,0.977954545454545,0.0807985921407838,0.994723424723425,0.958855411656362,0.420823156959627,-6.17465962716071
wilt,ce,0.0111578803278408,0.934601293821288,0.0361217615054947,0.994557544437386,0.888414646262224,5.61246952498139,-4.43468332166412
APSFailure,bacc,0.00764473684210526,0.861499455249574,0.0275542592081883,0.963807044634911,0.772720936305893,-0.10054264239979,-5.94914204982408
Amazon_employee_access,bacc,0.0542890508941775,0.616445256640538,0.196448952952766,0.674544178323814,0.350561961619632,8.16426930923712,5.01989715489929
Australian,bacc,0.130434782608696,0.874294545296243,0.337301451815144,0.933475831845951,0.744929150199705,2.98228756044357,-5.44602767137255
Bioresponse,bacc,0.208212765957447,0.790400455121482,0.46955101022673,0.858073996245468,0.581212814750431,0.535926012321153,-7.0134930518184
GesturePhaseSegmentationProcessed,bacc,0.410210981627555,0.493095227049678,1.09919469903378,0.860962370686453,0.457363547131465,2.64931129449756,-1.2828306885043
Internet-Advertisements,bacc,0.0256162825389722,0.927701716517628,0.119136780480074,0.949731472916024,0.890960757917591,-2.56051884991779,-7.35388815653064
KDDCup09_appetency,bacc,0.0178,0.5,0.0893489430112594,0.5,0,-3.75796248664572,-3.41787967815372
MiceProtein,bacc,0.000925925925925926,0.999166666666667,0.047457043207282,0.999982993197279,0.998950362958603,8.10836272221228,-6.8351949273406
PhishingWebsites,bacc,0.045318255832031,0.955891347043898,0.172043408716365,0.979933668865639,0.909213670327029,9.15925564041714,-1.69478680390992
adult,bacc,0.162073543255734,0.760864718917498,0.352982887872456,0.890462236741161,0.540758643217786,-7.38200269861904,-6.9919593462767
analcatdata_authorship,bacc,0.00236694677871148,0.998385416666667,0.0293400785408301,1,0.99658854971477,6.25433910437733,-8.04993210957512
analcatdata_dmft,bacc,0.746487341772152,0.24590583028083,1.75484240916366,0.611087025687987,0.101328999973776,-1.45175689969903,-2.5427967677495
balance-scale,bacc,0,1,0.0681982520982001,1,1,9.13099372983067,-4.04582601337543
bank-marketing,bacc,0.0990246264398261,0.654511060441014,0.26459205940604,0.869282032457165,0.418343062558413,0.585385916727911,-2.12981599402519
banknote-authentication,bacc,0,1,0.00317482512675788,1,1,5.74068258810709,2.35637578886172
