nrow,nfeatures,n_layers,neurons,p,opt_lr,opt_weight_decay,epochs,rss_kb,rss_mib
206,50,4,8,0.2,1e-05,1e-06,10,646640,631.48437500000000000000
379,50,4,8,0.2,1e-05,1e-06,10,654432,639.09375000000000000000
695,50,4,8,0.2,1e-05,1e-06,10,652144,636.85937500000000000000
1274,50,4,8,0.2,1e-05,1e-06,10,617632,603.15625000000000000000
2335,50,4,8,0.2,1e-05,1e-06,10,643232,628.15625000000000000000
4281,50,4,8,0.2,1e-05,1e-06,10,669920,654.21875000000000000000
7847,50,4,8,0.2,1e-05,1e-06,10,637008,622.07812500000000000000
14384,50,4,8,0.2,1e-05,1e-06,10,656192,640.81250000000000000000
26366,50,4,8,0.2,1e-05,1e-06,10,673056,657.28125000000000000000
48329,50,4,8,0.2,1e-05,1e-06,10,707328,690.75000000000000000000
88586,50,4,8,0.2,1e-05,1e-06,10,723216,706.26562500000000000000
162377,50,4,8,0.2,1e-05,1e-06,10,737600,720.31250000000000000000
297635,50,4,8,0.2,1e-05,1e-06,10,667136,651.50000000000000000000
545559,50,4,8,0.2,1e-05,1e-06,10,742464,725.06250000000000000000
1e+06,50,4,8,0.2,1e-05,1e-06,10,754656,736.96875000000000000000
10,50,8,8,0.2,1e-05,1e-06,10,585072,571.35937500000000000000
18,50,8,8,0.2,1e-05,1e-06,10,573568,560.12500000000000000000
33,50,8,8,0.2,1e-05,1e-06,10,622400,607.81250000000000000000
61,50,8,8,0.2,1e-05,1e-06,10,646688,631.53125000000000000000
112,50,8,8,0.2,1e-05,1e-06,10,648560,633.35937500000000000000
206,50,8,8,0.2,1e-05,1e-06,10,648000,632.81250000000000000000
379,50,8,8,0.2,1e-05,1e-06,10,644752,629.64062500000000000000
695,50,8,8,0.2,1e-05,1e-06,10,651776,636.50000000000000000000
1274,50,8,8,0.2,1e-05,1e-06,10,662048,646.53125000000000000000
2335,50,8,8,0.2,1e-05,1e-06,10,666688,651.06250000000000000000
4281,50,8,8,0.2,1e-05,1e-06,10,670416,654.70312500000000000000
7847,50,8,8,0.2,1e-05,1e-06,10,658848,643.40625000000000000000
14384,50,8,8,0.2,1e-05,1e-06,10,646368,631.21875000000000000000
26366,50,8,8,0.2,1e-05,1e-06,10,683024,667.01562500000000000000
48329,50,8,8,0.2,1e-05,1e-06,10,694560,678.28125000000000000000
88586,50,8,8,0.2,1e-05,1e-06,10,728560,711.48437500000000000000
162377,50,8,8,0.2,1e-05,1e-06,10,811136,792.12500000000000000000
297635,50,8,8,0.2,1e-05,1e-06,10,797008,778.32812500000000000000
545559,50,8,8,0.2,1e-05,1e-06,10,755120,737.42187500000000000000
1e+06,50,8,8,0.2,1e-05,1e-06,10,753648,735.98437500000000000000
10,50,16,8,0.2,1e-05,1e-06,10,636640,621.71875000000000000000
18,50,16,8,0.2,1e-05,1e-06,10,597456,583.45312500000000000000
33,50,16,8,0.2,1e-05,1e-06,10,639904,624.90625000000000000000
61,50,16,8,0.2,1e-05,1e-06,10,590320,576.48437500000000000000
112,50,16,8,0.2,1e-05,1e-06,10,585568,571.84375000000000000000
206,50,16,8,0.2,1e-05,1e-06,10,594256,580.32812500000000000000
379,50,16,8,0.2,1e-05,1e-06,10,601168,587.07812500000000000000
695,50,16,8,0.2,1e-05,1e-06,10,589344,575.53125000000000000000
1274,50,16,8,0.2,1e-05,1e-06,10,594336,580.40625000000000000000
2335,50,16,8,0.2,1e-05,1e-06,10,648848,633.64062500000000000000
4281,50,16,8,0.2,1e-05,1e-06,10,634224,619.35937500000000000000
7847,50,16,8,0.2,1e-05,1e-06,10,638752,623.78125000000000000000
14384,50,16,8,0.2,1e-05,1e-06,10,630736,615.95312500000000000000
26366,50,16,8,0.2,1e-05,1e-06,10,638896,623.92187500000000000000
48329,50,16,8,0.2,1e-05,1e-06,10,621376,606.81250000000000000000
88586,50,16,8,0.2,1e-05,1e-06,10,654144,638.81250000000000000000
162377,50,16,8,0.2,1e-05,1e-06,10,687440,671.32812500000000000000
297635,50,16,8,0.2,1e-05,1e-06,10,751504,733.89062500000000000000
545559,50,16,8,0.2,1e-05,1e-06,10,744064,726.62500000000000000000
1e+06,50,16,8,0.2,1e-05,1e-06,10,739888,722.54687500000000000000
10,50,2,16,0.2,1e-05,1e-06,10,589152,575.34375000000000000000
18,50,2,16,0.2,1e-05,1e-06,10,592688,578.79687500000000000000
33,50,2,16,0.2,1e-05,1e-06,10,589456,575.64062500000000000000
61,50,2,16,0.2,1e-05,1e-06,10,613344,598.96875000000000000000
112,50,2,16,0.2,1e-05,1e-06,10,619312,604.79687500000000000000
206,50,2,16,0.2,1e-05,1e-06,10,652256,636.96875000000000000000
379,50,2,16,0.2,1e-05,1e-06,10,643328,628.25000000000000000000
695,50,2,16,0.2,1e-05,1e-06,10,647088,631.92187500000000000000
1274,50,2,16,0.2,1e-05,1e-06,10,646160,631.01562500000000000000
2335,50,2,16,0.2,1e-05,1e-06,10,636816,621.89062500000000000000
4281,50,2,16,0.2,1e-05,1e-06,10,640720,625.70312500000000000000
7847,50,2,16,0.2,1e-05,1e-06,10,661104,645.60937500000000000000
14384,50,2,16,0.2,1e-05,1e-06,10,692624,676.39062500000000000000
26366,50,2,16,0.2,1e-05,1e-06,10,771552,753.46875000000000000000
48329,50,2,16,0.2,1e-05,1e-06,10,747568,730.04687500000000000000
88586,50,2,16,0.2,1e-05,1e-06,10,723008,706.06250000000000000000
162377,50,2,16,0.2,1e-05,1e-06,10,687328,671.21875000000000000000
297635,50,2,16,0.2,1e-05,1e-06,10,747856,730.32812500000000000000
545559,50,2,16,0.2,1e-05,1e-06,10,855664,835.60937500000000000000
1e+06,50,2,16,0.2,1e-05,1e-06,10,748688,731.14062500000000000000
10,50,4,16,0.2,1e-05,1e-06,10,603536,589.39062500000000000000
18,50,4,16,0.2,1e-05,1e-06,10,604944,590.76562500000000000000
33,50,4,16,0.2,1e-05,1e-06,10,555232,542.21875000000000000000
61,50,4,16,0.2,1e-05,1e-06,10,589232,575.42187500000000000000
112,50,4,16,0.2,1e-05,1e-06,10,633360,618.51562500000000000000
