nrow,nfeatures,n_blocks,d_block,d_hidden_multiplier,dropout1,dropout2,lr,weight_decay,epochs,rss_kb,rss_mib
1e+05,10,4,256,1,0.2,0.2,1e-05,1e-06,10,894864,873.89062500000000000000
100,50,4,256,1,0.2,0.2,1e-05,1e-06,10,696464,680.14062500000000000000
1000,50,4,256,1,0.2,0.2,1e-05,1e-06,10,884672,863.93750000000000000000
5000,50,4,256,1,0.2,0.2,1e-05,1e-06,10,904176,882.98437500000000000000
10000,50,4,256,1,0.2,0.2,1e-05,1e-06,10,882528,861.84375000000000000000
50000,50,4,256,1,0.2,0.2,1e-05,1e-06,10,878688,858.09375000000000000000
1e+05,50,4,256,1,0.2,0.2,1e-05,1e-06,10,876432,855.89062500000000000000
100,100,4,256,1,0.2,0.2,1e-05,1e-06,10,701680,685.23437500000000000000
1000,100,4,256,1,0.2,0.2,1e-05,1e-06,10,871952,851.51562500000000000000
5000,100,4,256,1,0.2,0.2,1e-05,1e-06,10,902704,881.54687500000000000000
10000,100,4,256,1,0.2,0.2,1e-05,1e-06,10,868000,847.65625000000000000000
50000,100,4,256,1,0.2,0.2,1e-05,1e-06,10,875120,854.60937500000000000000
1e+05,100,4,256,1,0.2,0.2,1e-05,1e-06,10,889440,868.59375000000000000000
100,500,4,256,1,0.2,0.2,1e-05,1e-06,10,694400,678.12500000000000000000
1000,500,4,256,1,0.2,0.2,1e-05,1e-06,10,843504,823.73437500000000000000
5000,500,4,256,1,0.2,0.2,1e-05,1e-06,10,926864,905.14062500000000000000
10000,500,4,256,1,0.2,0.2,1e-05,1e-06,10,929648,907.85937500000000000000
50000,500,4,256,1,0.2,0.2,1e-05,1e-06,10,909424,888.10937500000000000000
1e+05,500,4,256,1,0.2,0.2,1e-05,1e-06,10,947920,925.70312500000000000000
100,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,703376,686.89062500000000000000
1000,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,887040,866.25000000000000000000
5000,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,951824,929.51562500000000000000
10000,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,957344,934.90625000000000000000
50000,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,935808,913.87500000000000000000
1e+05,1000,4,256,1,0.2,0.2,1e-05,1e-06,10,925184,903.50000000000000000000
100,1,4,512,1,0.2,0.2,1e-05,1e-06,10,715456,698.68750000000000000000
1000,1,4,512,1,0.2,0.2,1e-05,1e-06,10,926016,904.31250000000000000000
5000,1,4,512,1,0.2,0.2,1e-05,1e-06,10,979264,956.31250000000000000000
10000,1,4,512,1,0.2,0.2,1e-05,1e-06,10,965184,942.56250000000000000000
50000,1,4,512,1,0.2,0.2,1e-05,1e-06,10,972096,949.31250000000000000000
