nrow,nfeatures,n_blocks,d_token,residual_dropout,attention_dropout,ffn_dropout,ffn_d_hidden_multiplier,lr,weight_decay,epochs,rss_kb,rss_mib
10000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1820640,1777.96875000000000000000
50000,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1788608,1746.68750000000000000000
1e+05,100,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1790992,1749.01562500000000000000
100,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1773200,1731.64062500000000000000
1000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1863168,1819.50000000000000000000
5000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1868736,1824.93750000000000000000
10000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1983424,1936.93750000000000000000
50000,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2031056,1983.45312500000000000000
1e+05,500,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2376928,2321.21875000000000000000
100,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1684016,1644.54687500000000000000
1000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1761424,1720.14062500000000000000
5000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1960688,1914.73437500000000000000
10000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2020832,1973.46875000000000000000
50000,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,1993376,1946.65625000000000000000
1e+05,1000,4,512,0.1,0.2,0.2,0.666666666666667,1e-05,1e-06,10,2046208,1998.25000000000000000000
100,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,747024,729.51562500000000000000
1000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,854512,834.48437500000000000000
5000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,849456,829.54687500000000000000
10000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,821808,802.54687500000000000000
50000,1,4,64,0.1,0.2,0.2,1.33333333333333,1e-05,1e-06,10,824320,805.00000000000000000000
