task,measure,ce,bacc,logloss,auc,mcc,xgboost.eta,xgboost.max_depth,xgboost.colsample_bytree,xgboost.colsample_bylevel,xgboost.lambda,xgboost.alpha,xgboost.subsample
MiceProtein,bacc,0.00648148148148148,0.994166666666667,1.93401123182985,0.99996336996337,0.992728395349121,-6.55004002573098,11,0.352859564195387,0.580762746161781,-5.6534038531135,-6.59503780630761,0.980883347126655
PhishingWebsites,bacc,0.0220712199193212,0.97701170316861,0.0657321969033019,0.997146091344031,0.955364776641271,-0.80240048640508,10,0.437105658487417,0.378585297637619,-1.28189549837624,-3.17032167961999,0.737354619172402
adult,bacc,0.122640368106079,0.804728655075942,0.273977210516187,0.929983106233007,0.64791495845572,-1.84320125039237,6,0.31433348946739,0.897925372188911,0.151163339452942,-6.46202132157538,0.714573975536041
analcatdata_authorship,bacc,0,1,0.634518794571597,1,1,-2.57403898305265,6,0.307663223939016,0.838669068086892,-4.56119515394778,-2.96304228438951,0.484188565029763
analcatdata_dmft,bacc,0.68251582278481,0.319771062271062,2.43750682852613,0.62421856704549,0.182176481443999,-0.00220889340053886,7,0.113094088854268,0.535949291451834,-1.83067269354012,-3.88531738183523,0.191370469122194
balance-scale,bacc,0.0112135176651306,0.991912972085386,0.133434441543814,0.995821018062397,0.981655357373459,-0.0693796403797662,11,0.26521171326749,0.796611791010946,-1.80620672735627,-4.44039357459838,0.468896468542516
bank-marketing,bacc,0.0890933909973028,0.747558559025131,0.203274335467382,0.932711556885155,0.537533091122135,-0.0167505237854413,11,0.982872805884108,0.900366969243623,5.56232327558057,-1.46097209125319,0.957223062985577
banknote-authentication,bacc,0,1,0.044302207615616,1,1,-0.816785217071767,2,0.752333719679155,0.853262294270098,-3.09154619014821,-1.62249823619243,0.224466876685619
blood-transfusion-service-center,bacc,0.216648648648649,0.75015479876161,1.18970614250842,0.770754500630662,0.471549190218747,-0.0248364273365905,5,0.836378520261496,0.928249583463185,-4.89685497324716,-6.28753843541236,0.155639136116952
breast-w,bacc,0.0157349896480331,0.985978260869565,0.0962403858907973,0.994984339774557,0.966670654808485,-0.268225634743584,7,0.393433840991929,0.804041573684663,-2.69586203659926,-6.08591356101868,0.35479376714211
car,bacc,0,1,0.0422126705112547,1,1,-0.0636752144508464,3,0.978715730388649,0.870336400344968,-4.46340469371797,-2.24961465617093,0.852519995439798
christine,bacc,0.239763387467516,0.760237119037857,0.52953829781656,0.817342008475435,0.521138591062896,-2.03433140831519,5,0.95389466539491,0.192503807833418,4.10238703062499,-3.15378888447052,0.940100343339145
churn,bacc,0.035,0.895713900686059,0.169802066372867,0.92290235924137,0.850223871229104,-1.19566538410147,9,0.794234657287598,0.775619930378161,-6.02428017555964,-3.086208804439,0.905501385126263
climate-model-simulation-crashes,bacc,0.0462962962962963,0.922295918367347,0.226011421353066,0.936224489795918,0.754993397779992,-0.231422458789872,5,0.801511819544248,0.868972433567978,-4.95644013496606,-5.41360487551546,0.219257656927221
cmc,bacc,0.391027762456334,0.589075542491102,0.898273913188256,0.767659136027537,0.394738285084734,-0.596449067782786,2,0.81180479915347,0.624952902644873,-3.66755081162658,-0.17959985248828,0.420961668528616
cnae-9,bacc,0.0407407407407407,0.959259259259259,0.493800976480421,0.998360339506173,0.954515042097429,-2.15121825171908,8,0.135639940504916,0.663712024874985,-3.89815687206718,-6.32585830542548,0.911102657718584
connect-4,bacc,0.123096068565749,0.747232302257587,0.337616339571192,0.94296649758609,0.747549447457688,-0.169990918029521,8,0.598798652156256,0.888406965718605,2.95397923723685,-1.50506438929649,0.968514812365174
credit-approval,bacc,0.0956521739130435,0.902086543903182,0.409698718701853,0.928145778009955,0.807087354438973,-0.724266589947329,9,0.602957746013999,0.192116645420901,3.22950100963648,-6.36810308411631,0.187566213496029
credit-g,bacc,0.197,0.760238095238095,0.512206637588009,0.791666666666667,0.529748063040468,-0.101134434327508,2,0.589259593724273,0.579523197840899,3.21797998591539,-5.88013421999189,0.163352073309943
cylinder-bands,bacc,0.172222222222222,0.817786362042586,0.485838930425068,0.881066715542522,0.647517311495449,-1.13700295272305,8,0.568477875785902,0.899064091034234,-2.78052305236664,-3.26037650156233,0.902629148727283
diabetes,bacc,0.18362952836637,0.795675213675214,0.561590028849891,0.827962962962963,0.594376234551604,-1.25168973088878,2,0.900747019192204,0.848639162117615,-3.00061651645275,-6.84685614766292,0.133698526816443
dilbert,bacc,0.0076,0.992454822050601,0.040829723154127,0.999875131726973,0.990515735246737,-1.4997107513408,4,0.239656629087403,0.140585897048004,-6.12629383953387,-3.66970892339128,0.738477035425603
dna,bacc,0.0282486544035015,0.972053197982177,0.126692173246515,0.99546691885116,0.95450189843674,-1.012821058899,5,0.716687330347486,0.141076447512023,1.0368585367356,-1.18366187372307,0.286227513244376
dresses-sales,bacc,0.272,0.719540229885057,0.878483707483146,0.707799671592775,0.445971180072653,-0.00261661489905393,1,0.41389544964768,0.535149694350548,-1.95692012485328,-6.55798726489005,0.239956816262566
