task,measure,ce,bacc,logloss,auc,mcc,catboost.learning_rate,catboost.depth,catboost.l2_leaf_reg
dilbert,bacc,0.0085,0.991557372984195,0.0458660717651452,0.999869833318244,0.989397968921141,-1.87708956463043,7,0.00549269560724497
dna,bacc,0.0285611482423454,0.971601992385125,0.138668880523608,0.996237323945511,0.953988927937918,-2.32899541275483,7,0.0346663460833952
dresses-sales,bacc,0.28,0.705418719211823,0.66268252572849,0.679885057471264,0.423046606249297,-0.0750132335341209,7,88.5295457531947
electricity,bacc,0.0537385049505973,0.944535567431035,0.147500864994956,0.986848091360649,0.889968263497633,-2.42460361203827,11,0.848064042902552
eucalyptus,bacc,0.274583487597186,0.703893883893884,0.802186206516561,0.91842772883682,0.650295422232987,-0.182650851898423,3,1.45958403654373
fabert,bacc,0.264663084382262,0.714677604606233,0.799133825139958,0.95141823207533,0.683068241058464,-0.674761558817999,10,2.61273974318709
first-order-theorem-proving,bacc,0.363844495790679,0.521895840790413,1.0745074346815,0.863825605326739,0.506416069403172,-0.30355515895557,11,35.7809114022164
har,bacc,0.00631134007000859,0.993985033544891,0.029959405250809,0.999903932661831,0.992417970667797,-1.94788934737635,6,0.444216435703915
higgs,bacc,0.265843957164712,0.732867168981705,0.525508844415356,0.812074716146694,0.46617782862462,-1.8965822378979,11,759.582034901285
ilpd,bacc,0.224547048509644,0.722445045091207,0.673764596558527,0.760024894103983,0.452404332330134,-0.121895181032549,5,3.12259596775519
jannis,bacc,0.277656470319502,0.547930003746866,0.689936396355762,0.858930226660606,0.559512627915709,-0.579105025787799,11,270.155606712432
jasmine,bacc,0.166896365962605,0.833118568232662,0.40986138605811,0.873900665135204,0.683113566935342,-1.19071847047529,11,375.643158935684
jm1,bacc,0.19963260614163,0.635691097646299,0.743091679044471,0.690656597205845,0.30202605162071,-0.135421580784889,10,1.56501802845928
jungle_chess_2pcs_raw_endgame_complete,bacc,0.124746276135811,0.83122726413547,0.258469379474342,0.976327923536194,0.782634106968542,-0.0379729468739526,3,1.4024169529439
kc1,bacc,0.137506206273979,0.710624383586984,0.479714905639046,0.773529771738159,0.447031498535426,-0.0468500750819625,10,5.46400027905242
kc2,bacc,0.118759071117562,0.801455495723788,0.488835714030427,0.844510083412522,0.629968501618765,-0.475726745677725,11,914.64758724584
kr-vs-kp,bacc,0.0018769592476489,0.998119254267523,0.031142432305367,0.999129363216447,0.996263043078255,-0.430506985630149,10,60.6784146184856
madelon,bacc,0.121153846153846,0.878846153846154,0.385757416945199,0.923822485207101,0.7579930001453,-0.440941301000928,7,482.054856270477
mfeat-factors,bacc,0.019,0.981,0.105536504397338,0.99955,0.978983508430585,-2.42921060200837,8,0.0162380518971477
mfeat-fourier,bacc,0.1325,0.8675,0.44585343490715,0.987794444444445,0.853396396066459,-0.753848650737727,11,35.3513898184467
mfeat-karhunen,bacc,0.0255,0.9745,0.146302933629915,0.999583333333333,0.971795683444935,-2.25796900083539,11,0.315320821780944
mfeat-morphological,bacc,0.233,0.767,0.638742616915304,0.971972222222222,0.742963058551035,-0.190855317236148,2,12.3958996803393
mfeat-pixel,bacc,0.016,0.984,0.104946862319495,0.999733333333333,0.98229303468153,-2.20171427905743,8,0.0685091776181944
mfeat-zernike,bacc,0.183,0.817,0.484287756855751,0.980752777777778,0.797263501568789,-1.68936008273005,2,0.2431166189285
nomao,bacc,0.0236472587718744,0.970553184942084,0.071568779664289,0.99628933319481,0.942018430255374,-1.78362028643332,11,0.870622748576803
numerai28.6,bacc,0.472155315614618,0.526679169599314,0.691798740211855,0.530745830772003,0.0548336867552708,-1.93912075297305,6,676.933052382283
optdigits,bacc,0.0097864768683274,0.990205633598102,0.0531780555035617,0.99989953087726,0.989148036639329,-3.06687894379199,11,0.0705015074436087
ozone-level-8hr,bacc,0.0540692788895459,0.737992412154735,0.225178415954381,0.880052986384427,0.515531998583881,-0.167250377539636,9,0.231591979253572
pc1,bacc,0.0577067977067977,0.73343246559266,0.245999319450939,0.855110423557026,0.517223591752469,-0.178533011926266,11,0.694237181419041
pc3,bacc,0.0914747672709456,0.705415400202634,0.412704043466797,0.815650329280649,0.464482693800793,-0.24148653656677,9,0.169564327997388
pc4,bacc,0.071294284364667,0.831221915849673,0.287893970397915,0.92570720996732,0.670414002220877,-0.0159794146007879,5,0.527233748495812
pendigits,bacc,0.00445719248903962,0.995543637600975,0.0317138197180908,0.999928741234118,0.995051570864473,-2.58220736373902,8,0.528400228854036
phoneme,bacc,0.0804925720544944,0.902131536675456,0.221408997920975,0.964056412881472,0.805854960798325,-1.64634764312933,10,6.07774636425148
qsar-biodeg,bacc,0.0994968553459119,0.888538647342995,0.324750154521706,0.927697854020835,0.779286554656561,-0.189165612745718,2,22.81608711396
robert,bacc,0.444,0.556759853182421,1.30050788503046,0.930949905632275,0.506969492963301,-2.57054831896069,7,2.4055868013911
satimage,bacc,0.0713841368584759,0.910420124360473,0.214177036555077,0.993036012698206,0.912038677214001,-1.71504885957529,7,0.911042806386948
segment,bacc,0.0497835497835498,0.95021645021645,0.164606592271608,0.996827583191219,0.942143464618118,-2.37475562553742,10,1.62976932986127
semeion,bacc,0.0389111635220126,0.960953431372549,0.175439861415493,0.999054738562092,0.957054300912256,-2.10150566629432,7,0.0523076734810602
shuttle,bacc,8.62068965517241e-05,0.999930726180925,0.00172452406140802,0.999999140760599,0.999757626623832,-1.34813568723828,10,48.2312652328231
sick,bacc,0.00689584999929828,0.973968312453943,0.0312776736510917,0.99657539933781,0.940951751163987,-0.460227061044443,7,148.274198672296
spambase,bacc,0.0332519098368386,0.965238842433626,0.133478263167444,0.989420428146389,0.930528322896813,-2.18595473057263,9,0.0158848481639288
splice,bacc,0.0272727272727273,0.972020316398883,0.27875706821561,0.996619437599846,0.95598743394411,-3.51522367140075,6,0.189268998495769
steel-plates-fault,bacc,0.170533967750463,0.839851539223814,0.520083831101717,0.979648320132734,0.780547616323257,-0.923233648670263,11,45.3043618217679
sylvine,bacc,0.0431305586013645,0.956869376215953,0.133452387420329,0.986445647362141,0.915216383437509,-1.98530484139206,10,91.5175475893365
tic-tac-toe,bacc,0,1,0.056156104670747,1,1,-0.741497892985254,3,0.154716566754608
vehicle,bacc,0.172591036414566,0.829273182957394,0.492781790404612,0.9494347056642,0.773429081775205,-0.521737670873688,2,1.44245400472824
wall-robot-navigation,bacc,0.00128339550357899,0.999176864157514,0.0114453835364138,0.999992412222359,0.998067675505939,-0.676965080372598,6,1.39646580764325
wdbc,bacc,0.0105263157894737,0.985930735930736,0.127810135796258,0.994992784992785,0.977775049319124,-1.87569895615859,7,1.49472140516271
wilt,bacc,0.00991863867357939,0.940484121409179,0.0416689485469616,0.990716706626428,0.900750343464739,-0.907793622085321,6,12.1567770276635
APSFailure,logloss,0.00489473684210526,0.897181985255003,0.0158548322953,0.993046598117084,0.854285926082136,-4.58778093095644,10,2.50440608133515
Amazon_employee_access,logloss,0.0441270008938608,0.698037882455955,0.131902250455548,0.906475921896546,0.515677085165746,-4.06876686156622,9,3.43259918239783
Australian,logloss,0.12463768115942,0.874366374994558,0.283290946197972,0.949221627269165,0.749682165089852,-1.57300747422992,11,12.6438817629772
GesturePhaseSegmentationProcessed,logloss,0.276511963214091,0.67168815313888,0.747993838576595,0.93658680714864,0.636163640633211,-3.21575513781074,11,13.7342479972602
Internet-Advertisements,logloss,0.0210440441560379,0.934837085003597,0.0739155332601237,0.984951776475828,0.910501678557587,-1.30429501353551,11,0.294544432901545
KDDCup09_appetency,logloss,0.01798,0.50321806812956,0.0723970961406137,0.852127876196295,0.0524882678827828,-3.26786476473592,11,35.0317504515913
MiceProtein,logloss,0.00277777777777778,0.997371794871795,0.00644109200384095,1,0.996850472790031,-1.24028440772256,11,0.00750504884799011
PhishingWebsites,logloss,0.0251465065091275,0.973979417865932,0.0590144787479176,0.997679213302839,0.949086211762462,-4.90983981051189,11,0.603976747376844
adult,logloss,0.124667399324513,0.800610038840466,0.271577128492712,0.930875316701446,0.641354015016361,-1.00341239618524,2,0.980361076297238
analcatdata_authorship,logloss,0.00355742296918768,0.994166666666667,0.0105549874862529,1,0.994884017389261,-1.58647072745073,7,0.0454317257886287
analcatdata_dmft,logloss,0.756487341772152,0.242065018315018,1.73545563435276,0.637109340267994,0.0915720285562719,-0.0721912725864903,7,66.2314029199996
balance-scale,logloss,0.0128008192524322,0.99072249589491,0.0278347642305239,0.999761904761905,0.978328220908545,-0.29662306679554,1,0.0838028759835288
bank-marketing,logloss,0.0887837787998236,0.734036904633602,0.191303289503785,0.938954605634641,0.527241559945738,-4.51508954594628,9,6.95048787618126
banknote-authentication,logloss,0,1,0.0010965610139448,1,1,-2.28318985129915,7,0.0192140902082901
blood-transfusion-service-center,logloss,0.204522522522523,0.614628482972136,0.461500010097301,0.762530099759202,0.286536439850862,-0.546690073790785,3,25.3897378974101
breast-w,logloss,0.0215113871635611,0.976707729468599,0.0647822934205259,0.99700152979066,0.953303899496125,-0.0904771374917655,7,3.09946892304812
car,logloss,0,1,0.000142381808763811,1,1,-0.285087952433052,3,0.117049661666621
churn,logloss,0.0364,0.888331392376594,0.135977618377249,0.930733642490275,0.84379283111337,-3.00413649892185,9,2.53074991099816
climate-model-simulation-crashes,logloss,0.0444444444444444,0.764459183673469,0.107896949261283,0.966836734693878,0.634320782186243,-0.074519494950406,9,111.463965437614
cmc,logloss,0.432409450266593,0.544703964248556,0.878421330602558,0.771099328212752,0.329613852310757,-1.0689184064993,3,3.47443764307071
