task,measure,ce,bacc,logloss,auc,mcc,ranger.mtry.ratio,ranger.replace,ranger.sample.fraction,ranger.num.trees
connect-4,ce,0.176932071018157,0.616765131441607,0.471836383867444,0.898312985125035,0.621520043622765,0.25694677955471,FALSE,0.99588335712906,1000
credit-approval,ce,0.121739130434783,0.880001958991772,0.396330714102892,0.932183622828784,0.75813018775735,0.872332991566509,FALSE,0.997672437061556,1000
credit-g,ce,0.221,0.685952380952381,0.494703720955997,0.792190476190476,0.434672949093444,0.630006244406104,TRUE,0.579290391108953,1000
cylinder-bands,ce,0.146296296296296,0.841949230205279,0.38249323365579,0.922820309511667,0.702403568215238,0.0964645761996508,FALSE,0.950227355607785,1000
diabetes,ce,0.218814080656186,0.740207977207977,0.475427576830157,0.836205128205128,0.504407197386514,0.2353981572669,TRUE,0.881401426997036,1000
dilbert,ce,0.0176,0.982493265040165,0.277905648290012,0.999737057793221,0.978051147154762,0.0222852930892259,FALSE,0.945352123468183,1000
dna,ce,0.0386082687644171,0.955317108031122,0.274689676240829,0.996103653531966,0.937343896773006,0.0655417970847338,FALSE,0.907715206057765,1000
dresses-sales,ce,0.362,0.584154351395731,0.658337317941992,0.62183908045977,0.234154667609016,0.249078060034663,TRUE,0.307263880316168,1000
electricity,ce,0.0659868527548673,0.9319369642171,0.179074311562837,0.982141945081055,0.864859976245745,0.675034000072628,FALSE,0.913375634350814,1000
eucalyptus,ce,0.294927804516846,0.675847263847264,0.723044505171787,0.92594388944389,0.624535041238499,0.806079370900989,FALSE,0.63272173141595,1000
fabert,ce,0.288094409512912,0.686432934135219,0.940224592789105,0.948574731362193,0.654776087158158,0.161619051825255,FALSE,0.673033466679044,1000
first-order-theorem-proving,ce,0.358451536643026,0.522995099175776,1.16229129344498,0.871253557612669,0.512195717558601,0.677845322759822,TRUE,0.84500748317223,1000
guillermo,ce,0.15065,0.827441697213866,0.376899511136205,0.912284827017046,0.685091683247171,0.422928228741512,FALSE,0.981855900608934,1000
har,ce,0.0145644277128327,0.985513450777742,0.1345809208418,0.999764120887377,0.982502429588892,0.0224766368046403,FALSE,0.944936056272127,1000
higgs,ce,0.274023457419684,0.724683189365081,0.540536590484648,0.804295917680774,0.449777154120007,0.245439101941884,FALSE,0.834752323338762,1000
ilpd,ce,0.270952659263589,0.539402712304434,0.521850512490073,0.741865008198401,0.191821056805618,0.796305584954098,TRUE,0.212733918172307,1000
jannis,ce,0.27895814680183,0.531890963617717,0.713769150451028,0.857099765779762,0.556200568991759,0.277248707134277,FALSE,0.974034849437885,1000
jasmine,ce,0.17226437117012,0.827744966442953,0.388662425086587,0.887158806660361,0.673728664232467,0.302263343939558,FALSE,0.939347271039151,1000
jm1,ce,0.173266842894182,0.593378314089969,0.416078763657057,0.763819357394498,0.305336493957507,0.0930363659281284,TRUE,0.930565161746927,1000
jungle_chess_2pcs_raw_endgame_complete,ce,0.164238421114844,0.752003443956047,0.339278239516491,0.969179444253312,0.710222884219462,0.959641541820019,TRUE,0.105026916507632,1000
kc1,ce,0.130864364703227,0.643139361769411,0.379860065026806,0.829615547006218,0.395869004808291,0.797362090554088,TRUE,0.826057059364393,1000
kc2,ce,0.145573294629898,0.701203674374406,0.374795569393699,0.832124907612713,0.511091788421432,0.0315139701124281,TRUE,0.776258389162831,1000
kr-vs-kp,ce,0.00281641849529781,0.997164108315876,0.0202501605972119,0.999610211577293,0.994377169942378,0.837991141714156,FALSE,0.852254089200869,1000
madelon,ce,0.126153846153846,0.873846153846154,0.374444267690426,0.933491124260355,0.748180457959886,0.279164724517614,FALSE,0.992995425825939,1000
mfeat-factors,ce,0.0265,0.9735,0.236765338432844,0.99965,0.970695136265397,0.0294374395161867,FALSE,0.98282241912093,1000
mfeat-fourier,ce,0.152,0.848,0.456928217931366,0.987877777777778,0.831730798778768,0.29595830431208,FALSE,0.958495303872041,1000
mfeat-karhunen,ce,0.031,0.969,0.432127736989011,0.999683333333333,0.965707742559934,0.101394458673894,FALSE,0.905216719140299,1000
mfeat-morphological,ce,0.2815,0.7185,0.674610702814838,0.968572222222222,0.68842913187388,0.403143134433776,TRUE,0.862335414858535,1000
mfeat-pixel,ce,0.018,0.982,0.234625081290716,0.999861111111111,0.9800842577224,0.0297334517817944,FALSE,0.899293904588558,1000
mfeat-zernike,ce,0.213,0.787,0.711218425481083,0.976827777777778,0.763805431261238,0.189655910013244,FALSE,0.944716303306632,1000
mnist_784,ce,0.0250285714285714,0.97479483349231,0.197678258158098,0.999777317372344,0.97218668550314,0.0769789777696133,FALSE,0.997237062151544,1000
nomao,ce,0.0287538467004121,0.96335155490618,0.0804480266854126,0.995629507317209,0.929396298684074,0.0643962256144732,FALSE,0.968031727243215,1000
numerai28.6,ce,0.478934800664452,0.520449961148222,0.692197291807625,0.526191217867645,0.0411966467784357,0.879266047850251,TRUE,0.101700959098525,1000
optdigits,ce,0.0133451957295374,0.986665095340231,0.162771544933266,0.999890764380048,0.985201356964205,0.170134195592254,FALSE,0.965663684322499,1000
