task,measure,ce,bacc,logloss,auc,mcc,kknn.k,kknn.distance
Internet-Advertisements,bacc,0.0408695084657269,0.901359851988899,0.656584073794375,0.936459725220132,0.827221215107851,1.18285290523888,1.42700737901032
KDDCup09_appetency,bacc,0.03216,0.513651307887133,1.11076704886033,0.513651307887133,0.0288353133818922,0.429003248104047,1.30237048212439
MiceProtein,bacc,0.00185185185185185,0.998214285714286,0.0639606970276134,0.999489795918367,0.997899598746343,0.338864789960964,1.06930219835291
PhishingWebsites,bacc,0.0312066637755394,0.967663154075854,0.607265470392528,0.980811412129734,0.936775312267246,0.70721281854626,2.50453572536508
adult,bacc,0.152901207711853,0.76516269673627,0.417171669419222,0.89759166535165,0.56093495183507,3.36321024769408,1.01133547257632
analcatdata_authorship,bacc,0.00236694677871148,0.998385416666667,0.0371941408228486,1,0.99658854971477,4.16505441024503,1.26834556985646
analcatdata_dmft,bacc,0.780253164556962,0.217012362637363,1.77394290780253,0.596781501440155,0.0574557933763924,4.5239311334044,1.25478927016258
balance-scale,bacc,0.0912442396313364,0.657389162561576,0.459055967920105,0.964654039975086,0.840704320985142,4.51950963940537,1.00490311719477
bank-marketing,bacc,0.120369060556853,0.678836683631326,4.15740006743861,0.678836683631326,0.381681372137161,0.288505685870986,1.46191627997905
banknote-authentication,bacc,0.00145456468845869,0.998692754613807,0.0276032035065015,0.999350649350649,0.997079614175658,1.97154162241087,4.17489024044325
blood-transfusion-service-center,bacc,0.215225225225225,0.619341245270038,0.482848930892166,0.74447311088178,0.310967594200746,3.4203226234184,1.02683513468752
breast-w,bacc,0.0343271221532091,0.963935990338164,0.185372289435071,0.989787479871176,0.925574478300603,2.67516063971218,2.95421827698747
car,bacc,0.0757998386879957,0.759295270120629,0.254706975638438,0.985689237662922,0.838869396774923,2.71914957954505,1.1006568415463
christine,bacc,0.277961408079885,0.72203020363537,0.554448023680449,0.797846737138958,0.450862440807227,3.74131901197466,1.00824998877943
churn,bacc,0.1456,0.66068554984703,5.028845843099,0.66068554984703,0.352934854668561,0.666070627244217,4.93533131870131
climate-model-simulation-crashes,bacc,0.107407407407407,0.639275510204082,3.70972042760152,0.639275510204082,0.298532527337677,0.127867343646302,4.94354809261859
cmc,bacc,0.479959551388123,0.502294114628081,0.986439333085866,0.715341446799106,0.257629548290632,3.43185553891366,1.15256915893406
cnae-9,bacc,0.102777777777778,0.897222222222222,0.762478715132342,0.99693287037037,0.886375800033294,4.15976717988092,1.00493645295501
connect-4,bacc,0.219577503057841,0.574338889213769,0.842662007445579,0.854145390140598,0.524990765861918,2.68093417991314,1.7019751026233
credit-approval,bacc,0.13768115942029,0.856299464542249,0.362626135070078,0.917841045956496,0.722610307006466,3.8338893410484,1.3861479787156
credit-g,bacc,0.247,0.651190476190476,0.913102813038764,0.733357142857143,0.360252044943479,2.45733022176077,2.31460760626942
cylinder-bands,bacc,0.157407407407407,0.833541055718475,0.529576364019613,0.891949529038633,0.67986261152181,2.0143629772337,1.66040091216564
diabetes,bacc,0.253844839371155,0.697945868945869,0.756036423929754,0.798948717948718,0.419923749012997,3.10638939023309,3.80576064810157
dilbert,bacc,0.0228,0.97724178842673,0.161354590898226,0.998736246897562,0.971534340947632,1.57545469602411,1.42219439055771
dna,bacc,0.125529859427062,0.892600806506957,0.541869382030333,0.988143004593317,0.812537525345513,4.40909635490016,1.0449915901944
dresses-sales,bacc,0.394,0.557224958949097,0.66925306450583,0.575205254515599,0.146179996717233,4.32229379906355,3.19329798722019
electricity,bacc,0.14450912153074,0.850159777812584,0.574627327927787,0.929259530901209,0.70337391131205,2.2452778129997,1.00367480050772
eucalyptus,bacc,0.404924102184376,0.572440226440226,8.77440416100759,0.812608590063135,0.485617832676291,1.06430331694646,1.55397516395897
fabert,bacc,0.329733452087438,0.643022946490883,1.28222295236774,0.9355963154242,0.604937855031943,3.00771284272978,1.04047119431198
